# 배마 낙원 증명 — 시즌3 랭킹작/타임어택 발굴 스윕 (2026-07-14 검색 확인)
#
# 선정 기준: ① 시즌3 관련 ② 실제 순위권 유저가 쓴 랭킹작·타임어택 정보
# 제외: 지난 시즌 유산 세팅(시즌3 개편으로 무효), 저단계·입문 가이드
#
# 형식: URL | 라벨   ('#' 줄 무시)

# ─── 시즌3 체계 (필독) ───
https://www.inven.co.kr/board/lostark/6271/3635548 | 좋음
# ↑ ★ 대충 시즌3 낙원·증명에 대해 알아보자 (26.5) — 시즌3 변경점 총정리:
#    장비 세부옵션 삭제, 공명 육각형 강화(브론즈~다이아), 특화 스탯 추가 등

# ─── 순위권 유저의 실전 타임어택 팁 ───
https://www.inven.co.kr/board/lostark/4821/109881 | 좋음
# ↑ ★ 증명15단계 사소한 몇가지 — 순위권 유지 중 유저.
#    저가패턴 전부 치기(각성기 2회+공증), 시너지보다 품질 우선 등 시간단축 실전론

https://www.inven.co.kr/board/lostark/5348/143297 | 좋음
# ↑ 낙원력4000 증명 빌드 및 후기 (서머너, 26.5) — 최종 22등(17.40초) 랭커의
#    빌드 회고. 타직업이지만 "랭커가 뭘 깎는가" 프레임 참고

https://www.inven.co.kr/board/lostark/5631/91248 | 좋음
# ↑ 증명 15단계 (스카우터, 26.4) — 추천 고대 낙원장비(18강) 목록 + 트라이 영상

https://www.inven.co.kr/board/lostark/6335/6952 | 좋음
# ↑ 낙원력 1640만 증명15단계 (발키리, 26.4) — 스킬레벨 투자 우선순위
#    (공증 > 시너지 > 주력기) 프레임. 배마에 이식 가능한 사고방식

# ─── 랭킹작 운영 전략 (물량·타이밍) ───
https://www.inven.co.kr/board/lostark/4821/109472 | 좋음
# ↑ 증명 15단계 정보 — 최상위 단계 개방 전 입장권 비축, 캐릭 몰아주기 등
#    랭킹작 타이밍 전략 (시즌2 글이지만 운영 구조는 동일)

https://www.inven.co.kr/board/lostark/4821/109347 | 좋음
# ↑ 낙원 시너지별 유산장비추천 시즌2 — ⚠️ 유산 파트는 시즌3에서 무효.
#    전 시즌 랭킹 12위 유저의 "천상 최상단 개방일 = 승부처" 타이밍 전략 파트만 참고

# ─── 배마 전용 (시즌2 기록이지만 유일한 배마 상위 자료) ───
https://www.inven.co.kr/board/lostark/5342/162454 | 좋음
# ↑ 배마 낙원력 1881만 증명15단계 — 스킬코드 + 클리어 영상.
#    ⚠️ 시즌2 기준이나, 배마 낙원 스킬트리 뼈대와 딜사이클 감은 여전히 참고 가치
